date,state,Death_Rate,Mobility,Case_growth,days,phase_indi,phase_indi_before,phase_indi_after,Phase_indi_-1.0,Phase_indi_0.0,Phase_indi_1.0,Phase_indi_2.0,Phase_indi_3.0,Phase_indi_4.0,Phase_indi_5.0,Phase_indi_before_-1.0,Phase_indi_before_0.0,Phase_indi_before_1.0,Phase_indi_before_2.0,Phase_indi_before_3.0,Phase_indi_before_4.0,Phase_indi_before_5.0,Phase_indi_after_-1.0,Phase_indi_after_0.0,Phase_indi_after_1.0,Phase_indi_after_2.0,Phase_indi_after_3.0,Phase_indi_after_4.0,Phase_indi_after_5.0
2020-03-14,India,1.40979697,-7.317214202000001,81.0,1,-1.0,-1.0,-1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-15,India,1.511865908,-9.901765098,27.0,2,-1.0,-1.0,-1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-16,India,1.635862348,-13.15159764,14.0,3,-1.0,-1.0,-1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-17,India,1.7852260819999999,-17.23606042,11.0,4,-1.0,-1.0,-1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-18,India,1.963891187,-22.57352447,37.0,5,-1.0,-1.0,-1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-19,India,2.176297381,-28.68938776,26.0,6,-1.0,-1.0,-1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-20,India,2.427428248,-35.40103744,54.0,7,-1.0,-1.0,-1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-21,India,2.722906558,-42.03091235,78.0,8,-1.0,-1.0,-1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-22,India,3.0691823069999997,-47.8425519,66.0,9,-1.0,-1.0,-1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-23,India,3.4738100060000003,-54.28151666,101.0,10,-1.0,-1.0,-1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-24,India,3.9458249039999997,-60.01183611,64.0,11,-1.0,-1.0,-1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-25,India,4.496266983,-64.93595766,89.0,12,-1.0,-1.0,-1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-26,India,5.138474087,-68.92802496,64.0,13,-1.0,-1.0,-1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
