date,state,Mobility,confirmed_infections,death_rate,rt,days,phase_indi,days0,days1,days2,days3,days4,days5,days6
3/14/20,Rajasthan,-6.66729713,3,2.89E-05,1.858568184,1,-1,1,-1,-1,-1,-1,-1,-1
3/15/20,Rajasthan,-8.990547962,1,2.90E-05,1.84734456,2,-1,2,-1,-1,-1,-1,-1,-1
3/16/20,Rajasthan,-12.16047222,0,2.96E-05,1.83771097,3,-1,3,-1,-1,-1,-1,-1,-1
3/17/20,Rajasthan,-16.24351792,0,3.06E-05,1.829965907,4,-1,4,-1,-1,-1,-1,-1,-1
3/18/20,Rajasthan,-21.22691603,3,3.20E-05,1.824285155,5,-1,5,-1,-1,-1,-1,-1,-1
3/19/20,Rajasthan,-26.99523928,2,3.38E-05,1.820680385,6,-1,6,-1,-1,-1,-1,-1,-1
3/20/20,Rajasthan,-33.31964995,8,3.63E-05,1.818965383,7,-1,7,-1,-1,-1,-1,-1,-1
3/21/20,Rajasthan,-39.88031642,7,3.94E-05,1.818732495,8,-1,8,-1,-1,-1,-1,-1,-1
3/22/20,Rajasthan,-46.32800371,4,4.34E-05,1.819341907,9,-1,9,-1,-1,-1,-1,-1,-1
3/23/20,Rajasthan,-52.34521041,4,4.83E-05,1.819927002,10,-1,10,-1,-1,-1,-1,-1,-1
3/24/20,Rajasthan,-57.69545446,0,5.46E-05,1.819419728,11,-1,11,-1,-1,-1,-1,-1,-1
3/25/20,Rajasthan,-62.22667233,6,6.24E-05,1.816599756,12,-1,12,-1,-1,-1,-1,-1,-1
3/26/20,Rajasthan,-65.86912582,2,7.23E-05,1.810169594,13,-1,13,-1,-1,-1,-1,-1,-1
3/27/20,Rajasthan,-68.62981787,10,8.47E-05,1.798854152,14,-1,14,-1,-1,-1,-1,-1,-1
3/28/20,Rajasthan,-70.57585161,4,0.000100253,1.78151782,15,-1,15,-1,-1,-1,-1,-1,-1
3/29/20,Rajasthan,-71.8147269,5,0.000119723,1.75728612,16,-1,16,-1,-1,-1,-1,-1,-1
3/30/20,Rajasthan,-72.47411257,20,0.000143988,1.725654351,17,-1,17,-1,-1,-1,-1,-1,-1
3/31/20,Rajasthan,-72.68368073,14,0.000174097,1.686564672,18,-1,18,-1,-1,-1,-1,-1,-1
4/1/20,Rajasthan,-72.56559597,27,0.000211258,1.64043676,19,0,19,-1,-1,-1,-1,-1,-1
4/2/20,Rajasthan,-72.22867441,13,0.000256814,1.588145164,20,0,20,-1,-1,-1,-1,-1,-1
4/3/20,Rajasthan,-71.76546688,46,0.000312204,1.53094637,21,0,21,-1,-1,-1,-1,-1,-1
4/4/20,Rajasthan,-71.25159032,27,0.000378873,1.470367735,22,0,22,0,-1,-1,-1,-1,-1
4/5/20,Rajasthan,-70.74461375,60,0.000458158,1.408076413,23,0,23,1,-1,-1,-1,-1,-1
4/6/20,Rajasthan,-70.28295372,35,0.000551171,1.345748108,24,0,24,2,-1,-1,-1,-1,-1
4/7/20,Rajasthan,-69.8865149,42,0.0006588,1.284953068,25,0,25,3,-1,-1,-1,-1,-1
4/8/20,Rajasthan,-69.5627714,40,0.000781876,1.227071097,26,0,26,4,-1,-1,-1,-1,-1
4/9/20,Rajasthan,-69.31049672,80,0.000921152,1.173240467,27,0,27,5,-1,-1,-1,-1,-1
4/10/20,Rajasthan,-69.12292332,98,0.001077251,1.124339125,28,0,28,6,-1,-1,-1,-1,-1
4/11/20,Rajasthan,-68.99113709,139,0.001250602,1.080992048,29,0,29,7,-1,-1,-1,-1,-1
4/12/20,Rajasthan,-68.90623745,104,0.001441369,1.043596391,30,0,30,8,-1,-1,-1,-1,-1
4/13/20,Rajasthan,-68.85890068,93,0.001649412,1.012356052,31,0,31,9,-1,-1,-1,-1,-1
4/14/20,Rajasthan,-68.83763854,108,0.001874245,0.98731861,32,0,32,10,-1,-1,-1,-1,-1
4/15/20,Rajasthan,-68.83096954,71,0.002115018,0.968409482,33,0,33,11,-1,-1,-1,-1,-1
4/16/20,Rajasthan,-68.82814041,55,0.002370507,0.955460092,34,0,34,12,-1,-1,-1,-1,-1
4/17/20,Rajasthan,-68.81916264,98,0.002639119,0.948228476,35,0,35,13,-1,-1,-1,-1,-1
4/18/20,Rajasthan,-68.79696828,122,0.002918899,0.946412097,36,0,36,14,-1,-1,-1,-1,-1
4/19/20,Rajasthan,-68.75761705,127,0.003207486,0.949653763,37,0,37,15,-1,-1,-1,-1,-1
4/20/20,Rajasthan,-68.69776683,98,0.003502055,0.95754242,38,0,38,16,-1,-1,-1,-1,-1
